account_rewards,date
746.4693867187016,2024-01-01
-4264.543906250037,2024-01-02
3952.390105468803,2024-01-03
-113.10179687500931,2024-01-04
-911.6431601562072,2024-01-05
-320.57513281248976,2024-01-06
21147.900652343757,2024-01-07
-6693.158003906254,2024-01-08
4346.282144531258,2024-01-09
-2638.5418398437323,2024-01-10
-38715.96624218754,2024-01-11
-172.27504296868574,2024-01-12
-13642.315039062523,2024-01-13
9977.992792968755,2024-01-14
9602.136468750075,2024-01-15
-6639.8424453125335,2024-01-16
-25212.83640234382,2024-01-17
6372.995753906318,2024-01-18
854.7956562499749,2024-01-19
-2437.681210937444,2024-01-20
-42848.32312890631,2024-01-21
7400.5316953125875,2024-01-22
5093.515625,2024-01-23
-3151.84375,2024-01-24
41427.375,2024-01-25
6670.0390625,2024-01-26
-1858.140625,2024-01-27
27558.3515625,2024-01-28
-7384.0078125,2024-01-29
-8140.0859375,2024-01-30
10849.6953125,2024-01-31
2421.890625,2024-02-01
-4259.40625,2024-02-02
-8990.6953125,2024-02-03
1651.890625,2024-02-04
9372.0859375,2024-02-05
27138.1171875,2024-02-06
21633.5625,2024-02-07
40603.921875,2024-02-08
13729.71875,2024-02-09
11498.09375,2024-02-10
36614.703125,2024-02-11
-4747.1875,2024-02-12
45853.5859375,2024-02-13
2460.90625,2024-02-14
4876.265625,2024-02-15
-10938.5546875,2024-02-16
10110.1171875,2024-02-17
-7554.8515625,2024-02-18
11126.0703125,2024-02-19
-9805.296875,2024-02-20
-11752.5546875,2024-02-21
-12606.515625,2024-02-22
18461.3515625,2024-02-23
3567.0078125,2024-02-24
61361.609375,2024-02-25
56385.3125,2024-02-26
119227.1953125,2024-02-27
-28740.9375,2024-02-28
27329.5,2024-02-29
-9037.2734375,2024-03-01
25025.515625,2024-03-02
113586.9453125,2024-03-03
-99642.7265625,2024-03-04
50723.3203125,2024-03-05
18010.953125,2024-03-06
30241.40625,2024-03-07
4373.359375,2024-03-08
11459.9375,2024-03-09
68290.578125,2024-03-10
-14137.578125,2024-03-11
35248.640625,2024-03-12
-37111.9375,2024-03-13
-43842.046875,2024-03-14
-89950.4375,2024-03-15
67661.171875,2024-03-16
-18524.6875,2024-03-17
-123988.046875,2024-03-18
132019.765625,2024-03-19
-53290.1875,2024-03-20
-37677.8359375,2024-03-21
6235.7109375,2024-03-22
69783.3125,2024-03-23
59942.09375,2024-03-24
638.515625,2024-03-25
-11714.828125,2024-03-26
28371.40625,2024-03-27
-18746.75,2024-03-28
-5445.515625,2024-03-29
37143.5625,2024-03-30
-35893.0,2024-03-31
-93613.8671875,2024-04-01
11744.4765625,2024-04-02
55616.6875,2024-04-03
-14766.46875,2024-04-04
23286.3125,2024-04-05
10261.796875,2024-04-06
49913.703125,2024-04-07
-54831.5625,2024-04-08
31875.078125,2024-04-09
-11600.015625,2024-04-10
-63024.328125,2024-04-11
-74236.6796875,2024-04-12
42179.5859375,2024-04-13
-50875.34375,2024-04-14
8484.3515625,2024-04-15
-55773.78125,2024-04-16
49193.375,2024-04-17
7277.9609375,2024-04-18
25319.1640625,2024-04-19
-1491.53125,2024-04-20
42042.7734375,2024-04-21
-9468.9375,2024-04-22
-46868.25,2024-04-23
4505.7890625,2024-04-24
-15980.5078125,2024-04-25
-7395.953125,2024-04-26
-6730.0234375,2024-04-27
16013.59375,2024-04-28
-70493.84375,2024-04-29
-52422.5625,2024-04-30
19127.28125,2024-05-01
82860.8515625,2024-05-02
22036.0078125,2024-05-03
3072.5234375,2024-05-04
-19122.0390625,2024-05-05
-18196.921875,2024-05-06
-25231.25,2024-05-07
40964.4296875,2024-05-08
-49658.0390625,2024-05-09
20.5390625,2024-05-10
14403.0390625,2024-05-11
31967.203125,2024-05-12
-29670.5234375,2024-05-13
103723.46875,2024-05-14
-22790.0234375,2024-05-15
40046.4453125,2024-05-16
-2443.546875,2024-05-17
-14573.625,2024-05-18
113736.21875,2024-05-19
-28856.609375,2024-05-20
-22312.296875,2024-05-21
-26241.015625,2024-05-22
13123.859375,2024-05-23
16276.5625,2024-05-24
-16452.734375,2024-05-25
19282.140625,2024-05-26
-24163.390625,2024-05-27
-15798.75,2024-05-28
17311.765625,2024-05-29
-19218.71875,2024-05-30
4741.515625,2024-05-31
982.609375,2024-06-01
23169.953125,2024-06-02
38785.65625,2024-06-03
11331.203125,2024-06-04
-7164.4375,2024-06-05
-31120.71875,2024-06-06
-809.875,2024-06-07
7528.8125,2024-06-08
-2985.640625,2024-06-09
-47965.5,2024-06-10
20001.4375,2024-06-11
-32665.359375,2024-06-12
-16396.703125,2024-06-13
3957.9375,2024-06-14
9857.03125,2024-06-15
-3272.5,2024-06-16
-29690.1171875,2024-06-17
-3969.8828125,2024-06-18
-2896.09375,2024-06-19
-16114.0546875,2024-06-20
3440.3359375,2024-06-21
-23579.1875,2024-06-22
-63874.421875,2024-06-23
33598.984375,2024-06-24
-21853.9921875,2024-06-25
17457.515625,2024-06-26
-28262.609375,2024-06-27
12479.328125,2024-06-28
39400.109375,2024-06-29
3821.125,2024-06-30
-18105.2265625,2024-07-01
-40812.0625,2024-07-02
-70316.8125,2024-07-03
-6937.21875,2024-07-04
36105.609375,2024-07-05
-53997.453125,2024-07-06
18831.7421875,2024-07-07
28690.8359375,2024-07-08
-5868.0703125,2024-07-09
-8746.8046875,2024-07-10
12200.1171875,2024-07-11
29314.7421875,2024-07-12
34228.4765625,2024-07-13
89811.90625,2024-07-14
4993.9140625,2024-07-15
-21523.8203125,2024-07-16
-3183.984375,2024-07-17
60193.9765625,2024-07-18
9976.828125,2024-07-19
21799.25,2024-07-20
-12524.015625,2024-07-21
-36466.71875,2024-07-22
-12221.859375,2024-07-23
8912.0625,2024-07-24
46966.390625,2024-07-25
-2171.984375,2024-07-26
9735.6875,2024-07-27
-31590.96875,2024-07-28
-13615.765625,2024-07-29
-34798.84375,2024-07-30
16241.5,2024-07-31
-86733.5390625,2024-08-01
-16169.3984375,2024-08-02
-56388.578125,2024-08-03
-90761.4296875,2024-08-04
44942.90625,2024-08-05
-22150.8203125,2024-08-06
147018.8671875,2024-08-07
-18260.515625,2024-08-08
1445.3828125,2024-08-09
-48979.21875,2024-08-10
13970.6875,2024-08-11
27611.1171875,2024-08-12
-41190.53125,2024-08-13
-25897.78125,2024-08-14
29348.171875,2024-08-15
12867.078125,2024-08-16
-21890.171875,2024-08-17
22208.7421875,2024-08-18
-10574.5234375,2024-08-19
47572.765625,2024-08-20
-17452.1015625,2024-08-21
81673.7109375,2024-08-22
1862.0078125,2024-08-23
3400.1171875,2024-08-24
-31963.421875,2024-08-25
-74283.6015625,2024-08-26
-10483.171875,2024-08-27
7932.203125,2024-08-28
-5911.46875,2024-08-29
-3290.71875,2024-08-30
-36177.0234375,2024-08-31
39313.828125,2024-09-01
-36992.0546875,2024-09-02
11891.34375,2024-09-03
-39843.1171875,2024-09-04
-48658.15625,2024-09-05
4200.5390625,2024-09-06
15441.3359375,2024-09-07
47915.3125,2024-09-08
13841.8671875,2024-09-09
-6721.859375,2024-09-10
17244.4765625,2024-09-11
53774.359375,2024-09-12
-12455.953125,2024-09-13
-18090.2734375,2024-09-14
-21787.21875,2024-09-15
46552.6875,2024-09-16
29505.09375,2024-09-17
28397.1015625,2024-09-18
5555.4296875,2024-09-19
4440.9921875,2024-09-20
5585.1640625,2024-09-21
-7016.0234375,2024-09-22
21387.6953125,2024-09-23
-25494.1328125,2024-09-24
44833.25,2024-09-25
13412.1796875,2024-09-26
2133.65625,2024-09-27
-5551.5625,2024-09-28
-50727.703125,2024-09-29
-54834.828125,2024-09-30
-4492.8984375,2024-10-01
2785.578125,2024-10-02
28777.6328125,2024-10-03
494.3984375,2024-10-04
16038.0859375,2024-10-05
-12810.4453125,2024-10-06
-2303.2109375,2024-10-07
-34097.078125,2024-10-08
-6767.234375,2024-10-09
47752.9765625,2024-10-10
16454.5390625,2024-10-11
-7516.265625,2024-10-12
70284.5,2024-10-13
21889.65625,2024-10-14
12575.40625,2024-10-15
-4683.421875,2024-10-16
22416.96875,2024-10-17
-1233.203125,2024-10-18
14057.3125,2024-10-19
-35944.734375,2024-10-20
-141.796875,2024-10-21
-20442.640625,2024-10-22
38034.90625,2024-10-23
-33410.09375,2024-10-24
8190.1875,2024-10-25
20121.234375,2024-10-26
43526.140625,2024-10-27
61880.15625,2024-10-28
-8380.96875,2024-10-29
-46735.734375,2024-10-30
-16119.8125,2024-10-31
-4250.296875,2024-11-01
-12059.4375,2024-11-02
-20451.40625,2024-11-03
34057.203125,2024-11-04
138149.34375,2024-11-05
5847.1875,2024-11-06
14093.578125,2024-11-07
5134.59375,2024-11-08
81297.046875,2024-11-09
181000.53125,2024-11-10
-16404.78125,2024-11-11
57823.734375,2024-11-12
-73342.15625,2024-11-13
83942.71875,2024-11-14
-11165.6875,2024-11-15
-15677.75,2024-11-16
15329.359375,2024-11-17
39625.265625,2024-11-18
43905.46874999977,2024-11-19
91635.15625,2024-11-20
10844.625,2024-11-21
-26848.421875,2024-11-22
5203.859375,2024-11-23
-108053.51562499977,2024-11-24
-24573.484375,2024-11-25
87498.64062499977,2024-11-26
-6821.375,2024-11-27
39799.203125,2024-11-28
-22274.3125,2024-11-29
18276.15625,2024-11-30
-31118.65625,2024-12-01
3010.90625,2024-12-02
60860.078125,2024-12-03
-47849.140625,2024-12-04
73197.09375,2024-12-05
57.75,2024-12-06
28878.953125,2024-12-07
-83672.53125,2024-12-08
-16660.359375,2024-12-09
98947.234375,2024-12-10
-24860.6875,2024-12-11
31157.671875,2024-12-12
-1898.359375,2024-12-13
64365.984375,2024-12-14
38082.515625,2024-12-15
2439.421875,2024-12-16
-134179.375,2024-12-17
-56112.890625,2024-12-18
5829.484375,2024-12-19
-11686.46875,2024-12-20
-46635.359375,2024-12-21
-9211.296875,2024-12-22
87776.734375,2024-12-23
13708.234375,2024-12-24
-77080.953125,2024-12-25
-35874.4375,2024-12-26
21979.546875,2024-12-27
-35941.46875,2024-12-28
-19514.343749999767,2024-12-29
17291.828124999767,2024-12-30
