time/fps,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/reward,train/actor_loss
41,13471,39615.78125,0.009999999776482582,0.0001,4,13572,330,38.13803,3673.6494140625
40,27043,133747.75,0.009999999776482582,0.0001,8,27144,666,38.13803,2239.27490234375
40,40615,30844.41796875,0.009999999776482582,0.0001,12,40716,993,38.13803,2026.073974609375
41,54187,20102.703125,0.009999999776482582,0.0001,16,54288,1321,38.13803,1544.393798828125
41,67759,20281.86328125,0.009999999776482582,0.0001,20,67860,1641,38.13803,1758.3067626953125
42,88775,26130.013671875,0.009999999776482582,0.0001,4,8976,212,-1.3783104,1578.101318359375
41,97751,16586.57421875,0.009999999776482582,0.0001,8,17952,428,-1.3783104,1428.728271484375
41,106727,15451.66796875,0.009999999776482582,0.0001,12,26928,641,-1.3783104,1416.179931640625
41,115703,19049.216796875,0.009999999776482582,0.0001,16,35904,856,-1.3783104,1354.10205078125
41,124679,16663.052734375,0.009999999776482582,0.0001,20,44880,1070,-1.3783104,1403.8135986328125
41,133655,8771.41015625,0.009999999776482582,0.0001,24,53856,1285,-1.3783104,1155.095458984375
41,142631,4063.47314453125,0.009999999776482582,0.0001,28,62832,1496,-1.3783104,939.5965576171875
42,151607,6526.8984375,0.009999999776482582,0.0001,32,71808,1706,-1.3783104,847.1539916992188
43,168675,2845.57763671875,0.009999999776482582,0.0001,4,8976,207,-0.015484034,747.7423095703125
42,177651,1798.85205078125,0.009999999776482582,0.0001,8,17952,417,-0.015484034,560.2836303710938
42,186627,2071.33056640625,0.009999999776482582,0.0001,12,26928,627,-0.015484034,482.37322998046875
42,195603,56.1109733581543,0.009999999776482582,0.0001,16,35904,837,-0.015484034,366.22161865234375
42,204579,47.46488571166992,0.009999999776482582,0.0001,20,44880,1047,-0.015484034,277.92742919921875
42,213555,32.068115234375,0.009999999776482582,0.0001,24,53856,1258,-0.015484034,227.68844604492188
42,222531,147.8984832763672,0.009999999776482582,0.0001,28,62832,1468,-0.015484034,193.89065551757812
42,231507,5666.70556640625,0.009999999776482582,0.0001,32,71808,1678,-0.015484034,194.03074645996094
